CustomerID,Max of Transaction_Date,Recency,Frequency,Monetary,R Score,F Score,M Score
13659,10/7/2019,85,62,4097.541,6,8,7
13668,12/19/2019,12,61,4087.087,9,8,7
13672,8/19/2019,134,6,212.782,4,1,1
13680,8/2/2019,151,91,5659.828,4,9,8
13693,9/18/2019,104,4,29.036,5,1,0
13694,12/20/2019,11,104,5246.657,9,9,8
13700,9/6/2019,116,26,1119.399,5,5,3
13703,10/23/2019,69,1,238,7,0,1
13705,1/3/2019,362,10,1233.229,0,2,4
13707,11/20/2019,41,32,3821.55,7,6,7
13709,11/21/2019,40,31,2421.45,7,6,6
13715,8/1/2019,152,100,6520.226,4,9,8
13725,12/23/2019,8,41,4272.087,9,7,7
13728,12/12/2019,19,9,962.359,9,2,3
13742,10/11/2019,81,96,7991.919,6,9,9
13747,1/3/2019,362,1,153.71,0,0,1
13748,1/1/2019,364,1,1.24,0,0,0
13750,8/2/2019,151,1,2.79,4,0,0
13754,11/3/2019,58,8,867.92,7,1,3
13756,6/13/2019,201,16,1534.633,3,3,4
13758,8/8/2019,145,33,1961.657,4,6,5
13764,7/30/2019,154,69,3919.5,4,8,7
13767,8/16/2019,137,73,4597.834,4,8,8
13769,10/5/2019,87,32,3035.089,6,6,6
13777,12/13/2019,18,67,6391.275,9,8,8
13782,9/5/2019,117,36,2870.154,5,6,6
13784,12/8/2019,23,6,212.394,8,1,1
13786,3/23/2019,283,7,302.728,1,1,1
13787,5/1/2019,244,7,351.414,2,1,1
13798,10/11/2019,81,123,9324.317,6,9,9
13800,12/18/2019,13,33,2898.132,9,6,6
13802,12/6/2019,25,22,1056.15,8,5,3
13807,3/26/2019,280,7,1056.786,1,1,3
13815,10/22/2019,70,53,7974.444,6,7,9
13817,7/14/2019,170,9,119.103,3,2,0
13819,12/19/2019,12,24,2892.109,9,5,6
13824,12/13/2019,18,11,711.757,9,2,2
13829,6/12/2019,202,1,11.893,2,0,0
13831,2/16/2019,318,2,313.99,0,0,1
13837,10/30/2019,62,9,1066.68,7,2,3
13838,2/11/2019,323,52,6035.832,0,7,8
13842,12/19/2019,12,55,6581.922,9,8,8
13846,6/2/2019,212,28,1121.101,2,5,3
13848,4/7/2019,268,1,43.065,1,0,0
13854,12/10/2019,21,33,2671.556,8,6,6
13859,9/14/2019,108,28,2243.234,5,5,6
13862,9/4/2019,118,29,3170.94,5,5,7
13869,11/27/2019,34,71,11403.185,8,8,9
13871,12/20/2019,11,23,2985.479,9,5,6
13873,12/15/2019,16,7,302.917,9,1,1
13874,6/22/2019,192,18,902.061,3,4,3
13880,3/23/2019,283,6,1011,1,1,3
13881,12/4/2019,27,13,1962.762,8,3,5
13883,9/14/2019,108,1,24.5,5,0,0
13890,11/3/2019,58,12,1310.699,7,2,4
13894,12/13/2019,18,10,699.489,9,2,2
13898,9/15/2019,107,12,288.685,5,2,1
13901,10/18/2019,74,11,619.382,6,2,2
13911,12/27/2019,4,25,2787.149,9,5,6
13922,7/14/2019,170,7,320.575,3,1,1
13929,10/5/2019,87,3,2656.43,6,0,6
13939,12/12/2019,19,13,1156.373,9,3,4
13941,2/9/2019,325,12,869.867,0,2,3
13948,5/22/2019,223,3,127.02,2,0,0
13953,7/13/2019,171,1,7.2,3,0,0
13958,1/29/2019,336,5,448.97,0,1,1
13959,5/10/2019,235,16,948.108,2,3,3
13963,12/26/2019,5,35,3595.711,9,6,7
13969,10/4/2019,88,44,2552.092,6,7,6
13982,9/11/2019,111,52,3912.252,5,7,7
13983,9/13/2019,109,50,8911.343,5,7,9
13984,9/18/2019,104,9,102.166,5,2,0
13993,8/27/2019,126,18,342.332,5,4,1
13999,10/3/2019,89,32,2894.688,6,6,6
14001,1/9/2019,356,9,938.213,0,2,3
14006,12/2/2019,29,7,503.469,8,1,2
14016,6/27/2019,187,39,1352.853,3,6,4
14030,4/10/2019,265,27,4122.771,1,5,7
14031,9/25/2019,97,51,2794.652,6,7,6
14032,7/14/2019,170,32,3922.47,3,6,7
14037,4/27/2019,248,26,1234.526,2,5,4
14040,11/22/2019,39,67,7086.414,8,8,9
14044,12/17/2019,14,55,6975.185,9,8,8
14045,7/26/2019,158,5,107.211,4,1,0
14047,8/1/2019,152,15,242.585,4,3,1
14049,10/29/2019,63,115,10899.85,7,9,9
14051,11/21/2019,40,41,3649.444,7,7,7
14057,5/31/2019,214,48,2891.656,2,7,6
14060,10/28/2019,64,40,3645.87,7,7,7
14062,9/28/2019,94,44,4723.884,6,7,8
14068,10/11/2019,81,24,2028.159,6,5,5
14078,1/9/2019,356,13,1218.755,0,3,4
14081,3/2/2019,304,69,4998.909,0,8,8
14082,4/25/2019,250,29,2316.107,1,5,6
14083,7/10/2019,174,95,6413.971,3,9,8
14085,12/18/2019,13,171,10959.683,9,9,9
14088,10/3/2019,89,93,8910.541,6,9,9
14090,9/20/2019,102,1,13.2,5,0,0
14092,10/4/2019,88,61,2662.386,6,8,6
14099,9/4/2019,118,59,5931.367,5,8,8
14101,9/11/2019,111,3,113.473,5,0,0
14107,7/7/2019,177,17,1002.813,3,4,3
14113,12/5/2019,26,7,517.189,8,1,2
14114,8/27/2019,126,11,1066.572,5,2,3
14119,7/8/2019,176,1,15.19,3,0,0
14127,12/12/2019,19,20,2004.087,9,4,5
14130,10/17/2019,75,67,10334.744,6,8,9
14133,12/18/2019,13,17,1840.362,9,4,5
14135,9/9/2019,113,70,4818.219,5,8,8
14142,1/15/2019,350,22,3448.058,0,5,7
14146,11/16/2019,45,70,9807.998,7,8,9
14150,6/3/2019,211,12,648.303,2,2,2
14156,12/18/2019,13,86,7312.548,9,9,9
14159,5/4/2019,241,51,2256.784,2,7,6
14161,2/23/2019,311,26,2361.224,0,5,6
14167,8/25/2019,128,18,1090.26,5,4,3
14175,10/5/2019,87,21,1600.531,6,4,4
14176,9/9/2019,113,14,386.043,5,3,1
14180,12/16/2019,15,88,20127.614,9,9,9
14185,8/24/2019,129,3,98.4,5,0,0
14188,12/13/2019,18,12,1157.921,9,2,4
14189,10/26/2019,66,47,4482.92,7,7,8
14194,12/27/2019,4,30,3766.374,9,6,7
14201,6/8/2019,206,4,318.366,2,1,1
14205,4/17/2019,258,14,1450.317,1,3,4
14206,5/22/2019,223,1,298,2,0,1
14209,8/19/2019,134,16,2200.054,4,3,5
14210,7/18/2019,166,37,3136.058,3,6,7
14213,1/31/2019,334,5,61.025,0,1,0
14215,11/21/2019,40,52,2813.674,7,7,6
14217,12/9/2019,22,22,816.343,8,5,3
14220,6/22/2019,192,11,885.756,3,2,3
14221,7/19/2019,165,18,1718.862,3,4,5
14224,10/10/2019,82,40,3624.477,6,7,7
14229,11/20/2019,41,23,1640.74,7,5,5
14233,12/11/2019,20,15,1798.97,8,3,5
14236,1/31/2019,334,3,253.85,0,0,1
14237,1/9/2019,356,9,675.781,0,2,2
14238,9/12/2019,110,8,794.926,5,1,3
14239,11/12/2019,49,9,462.232,7,2,2
14242,9/14/2019,108,8,873.34,5,1,3
14243,10/31/2019,61,40,3357.381,7,7,7
14248,10/27/2019,65,8,200.25,7,1,1
14256,4/27/2019,248,32,2870.55,2,6,6
14257,10/19/2019,73,39,3735.403,6,6,7
14258,7/27/2019,157,31,1084.736,4,6,3
14264,1/30/2019,335,2,15.876,0,0,0
14270,8/22/2019,131,29,1362.07,5,5,4
14282,3/21/2019,285,13,924.256,1,3,3
14290,11/12/2019,49,25,2877.924,7,5,6
14292,9/14/2019,108,3,406.84,5,0,1
14293,3/4/2019,302,15,882.871,0,3,3
14295,8/18/2019,135,2,213,4,0,1
14298,11/29/2019,32,241,12623.58,8,9,9
14299,11/11/2019,50,34,2969.617,7,6,6
14307,9/23/2019,99,79,7109.374,6,8,9
14309,12/15/2019,16,22,702.923,9,5,2
14312,12/12/2019,19,23,3077.619,9,5,7
14320,10/1/2019,91,34,2610.832,6,6,6
14321,8/14/2019,139,29,1945.85,4,5,5
14329,9/2/2019,120,76,3858.308,5,8,7
14334,10/13/2019,79,42,2786.113,6,7,6
14341,11/3/2019,58,24,1547.417,7,5,4
14344,6/22/2019,192,14,1132.09,3,3,3
14355,4/13/2019,262,11,1228.705,1,2,4
14368,10/12/2019,80,8,1489.19,6,1,4
14373,6/20/2019,194,4,132.713,3,1,0
14388,4/9/2019,266,23,1466.903,1,5,4
14389,10/23/2019,69,6,596.29,7,1,2
14390,1/20/2019,345,28,3355.159,0,5,7
14395,8/11/2019,142,63,3395.724,4,8,7
14396,2/8/2019,326,34,4032.706,0,6,7
14401,11/21/2019,40,20,1683.633,7,4,5
14404,9/6/2019,116,46,3212.6,5,7,7
14409,10/19/2019,73,14,2181.461,6,3,5
14410,12/31/2019,0,8,1048.75,9,1,3
14411,12/11/2019,20,14,552.351,8,3,2
14413,5/9/2019,236,23,2034.266,2,5,5
14414,6/14/2019,200,8,231.796,3,1,1
14415,9/18/2019,104,117,9309.515,5,9,9
14419,4/25/2019,250,21,1429.233,1,4,4
14426,11/27/2019,34,47,3482.048,8,7,7
14428,9/18/2019,104,24,1047.596,5,5,3
14437,4/11/2019,264,5,152.869,1,1,0
14438,12/31/2019,0,9,444.708,9,2,1
14439,10/13/2019,79,32,2739.618,6,6,6
14440,11/6/2019,55,31,4923.307,7,6,8
14441,10/3/2019,89,2,20.79,6,0,0
14442,12/3/2019,28,32,3701.14,8,6,7
14443,12/14/2019,17,42,1669.677,9,7,5
14448,5/2/2019,243,18,633.314,2,4,2
14449,1/25/2019,340,50,5865.722,0,7,8
14450,10/6/2019,86,11,800.546,6,2,3
14457,12/11/2019,20,4,1408.44,8,1,4
14460,12/12/2019,19,2,333.932,9,0,1
14462,12/25/2019,6,59,7263.986,9,8,9
14466,12/21/2019,10,17,1752.027,9,4,5
14467,11/29/2019,32,15,2476.352,8,3,6
14472,8/8/2019,145,70,5471.585,4,8,8
14479,4/14/2019,261,10,329.626,1,2,1
14487,3/13/2019,293,14,1321.968,1,3,4
14491,1/21/2019,344,4,512.223,0,1,2
14496,12/4/2019,27,19,653.788,8,4,2
14497,12/19/2019,12,29,2344.139,9,5,6
14498,5/14/2019,231,14,595.352,2,3,2
14501,10/12/2019,80,4,890.2,6,1,3
14502,12/1/2019,30,45,4335.74,8,7,7
14505,8/4/2019,149,183,9923.221,4,9,9
14506,2/27/2019,307,50,5588.078,0,7,8
14514,8/25/2019,128,26,1106.762,5,5,3
14524,5/23/2019,222,26,850.996,2,5,3
14525,9/11/2019,111,27,1863.438,5,5,5
14527,11/29/2019,32,199,14785.199,8,9,9
14532,11/22/2019,39,23,1713.041,8,5,5
14533,7/13/2019,171,10,1270.678,3,2,4
14534,10/23/2019,69,29,4830.47,7,5,8
14540,12/19/2019,12,11,1349.147,9,2,4
14541,11/14/2019,47,75,11943.82,7,8,9
14543,10/20/2019,72,11,2588.76,6,2,6
14544,5/15/2019,230,57,4095.99,2,8,7
14548,10/27/2019,65,2,313.99,7,0,1
14549,12/8/2019,23,56,6106.822,8,8,8
14553,7/19/2019,165,23,722.664,3,5,2
14560,12/21/2019,10,22,1771.389,9,5,5
14565,5/16/2019,229,54,1561.132,2,8,4
14572,9/26/2019,96,58,4797.956,6,8,8
14573,1/31/2019,334,76,6459.474,0,8,8
14576,1/30/2019,335,1,53.847,0,0,0
14577,5/4/2019,241,38,2264.758,2,6,6
14587,12/7/2019,24,118,9355.163,8,9,9
14589,2/2/2019,332,3,151.71,0,0,0
14594,1/11/2019,354,31,4449.342,0,6,8
14595,11/23/2019,38,5,643.99,8,1,2
14600,12/31/2019,0,2,724.68,9,0,2
14606,12/31/2019,0,575,52653.214,9,9,9
14608,5/11/2019,234,1,5.59,2,0,0
